Laptop_name,Year,CPU,GPU,Memory,Storage,Display,Weight(kg),Price
Asus Eee PC 701 4GRM miniBook),2008,,Intel Graphics Media Accelerator (GMA) 900,"512 MB  ,, DDR2 (1x 512MB)","Silicon Motion SM223A, 4 GB  ","7.00 inch 16:10, 800 x 480 pixel, glossy: no","1000 g ( = 35.27 oz / 2.2 pounds), Power Supply: 200 g ( = 7.05 oz / 0.44 pounds)",299 Euro
Asus Eee PC 701 4GRM miniBook),2007,,Intel Graphics Media Accelerator (GMA) 900,"512 MB  ,, DDR2 (1x 512MB)","Silicon Motion SM223A, 4 GB  ","7.00 inch 16:10, 800 x 480 pixel, glossy: no","1000 g ( = 35.27 oz / 2.2 pounds), Power Supply: 200 g ( = 7.05 oz / 0.44 pounds)",299 Euro
HP 655 B6M65EA,2012,AMD E2-1800,AMD Radeon HD 7340,"4 GB  ,, 1x4096MB PC3-12800 800MHz","Hitachi Travelstar 5K750 HTS547550A9E384, 500 GB  ","15.60 inch 16:9, 1366 x 768 pixel, Samsung SEC325A, TN, glossy: no","2.31 kg ( = 81.48 oz / 5.09 pounds), Power Supply: 390 g ( = 13.76 oz / 0.86 pounds)",299 Euro
HP ProBook 4535s-A6E33EA,2012,AMD A4-3305M,AMD Radeon HD 6480G,4 GB  ,,"15.60 inch 16:9, 1366 x 768 pixel, glossy: no",2.3 kg ( = 81.13 oz / 5.07 pounds) ( = 0 oz / 0 pounds),500 Euro
Packard Bell Easynote F4312-HR-075GE,2012,Intel Core i3-2350M,AMD Radeon HD 7670M,"4 GB  ,, 1x 4096 MB SO-DIMM DDR3-SDRAM (1333 MHz)","WDC Scorpio Blue WD5000BPVT-22HXZT3, 500 GB  ","17.30 inch 16:9, 1600 x 900 pixel, AUO B173RW01 V3, LED-Backlight, glossy: yes","3.1 kg ( = 109.35 oz / 6.83 pounds), Power Supply: 350 g ( = 12.35 oz / 0.77 pounds)",500 Euro
Acer Aspire V5-131-10172G50akk,2013,Intel Celeron 1017U,Intel HD Graphics (Ivy Bridge),"2048 MB  ,, DDR3, single channel, two RAM slots","Seagate Momentus Thin ST500LT0 12-9WS142, 500 GB  ","11.60 inch 16:9, 1366 x 768 pixel, Chi Mei N116BGE_L32, TN LED, glossy: no","1.48 kg ( = 52.21 oz / 3.26 pounds), Power Supply: 193 g ( = 6.81 oz / 0.43 pounds)",249 Euro
Acer Aspire E1-572-34014G50Dnkk,2013,Intel Core i3-4010U,Intel HD Graphics 4400,"4 GB  ,, DDR3 1600 MHz (Single Channel)","Seagate Momentus Thin ST500LT0 12-9WS142, 500 GB  ","15.60 inch 16:9, 1920 x 1080 pixel, AUO B156HTN03.1, TN LED, Full-HD, glossy: no","2.069 kg ( = 72.98 oz / 4.56 pounds), Power Supply: 223 g ( = 7.87 oz / 0.49 pounds)",
Dell Vostro 2520,2013,Intel Core i3-2328M,Intel HD Graphics 3000,"4 GB  ,, DDR3,3 USB 2.0, 1 VGA, 1 HDMI, 1 Kensington Lock, Audio Connections: headphone in, microphone out, Card Reader: SD, MMC, Memory Stick","Seagate Momentus Thin ST500LT0 12-9WS142, 500 GB  ","15.60 inch 16:9, 1366 x 768 pixel, LG Philips 156WH4, TN LED, glossy: no","2.36 kg ( = 83.25 oz / 5.2 pounds), Power Supply: 249.5 g ( = 8.8 oz / 0.55 pounds)",399 Euro
HP 655 B6M65EA,2013,AMD E2-1800,AMD Radeon HD 7340,"4 GB  ,, 1x4096MB PC3-12800 800MHz","Hitachi Travelstar 5K750 HTS547550A9E384, 500 GB  ","15.60 inch 16:9, 1366 x 768 pixel, Samsung SEC325A, TN, glossy: no","2.31 kg ( = 81.48 oz / 5.09 pounds), Power Supply: 390 g ( = 13.76 oz / 0.86 pounds)",299 Euro
HP Probook 4540s-H4R27ES,2013,Intel Core i7-3632QM,AMD Radeon HD 7650M,8 GB  ,,"15.60 inch 16:9, 1366 x 768 pixel, glossy: yes",2.5 kg ( = 88.19 oz / 5.51 pounds) ( = 0 oz / 0 pounds),
Acer Aspire E5-551G-F1EW,2014,AMD FX-7500,AMD Radeon R7 M265,"8 GB  ,, DDR3, dual-channel, two memory banks (both filled)","Seagate ST1000LM014 Solid State Hybrid Drive, 1000 GB  ","15.60 inch 16:9, 1920 x 1080 pixel, Chi Mei N156HGE-EA2, TN LED, glossy: no","2.5 kg ( = 88.19 oz / 5.51 pounds), Power Supply: 452 g ( = 15.94 oz / 1 pounds)",599 Euro
ES1-511,2014,Intel Celeron N2930,Intel HD Graphics (Bay Trail),"4 GB  ,, DDR3, single channel, one memory slot (occupied)","Western Digital Scorpio Blue WD5000LPVX, 500 GB  ","15.60 inch 16:9, 1366 x 768 pixel, ChiMei N156BGE-L11, TN LED, glossy: no","2.4 kg ( = 84.66 oz / 5.29 pounds), Power Supply: 276 g ( = 9.74 oz / 0.61 pounds)",279 Euro
Acer Aspire E3-111-C6LG,2014,Intel Celeron N2930,Intel HD Graphics (Bay Trail),"4 GB  ,, DDR3, single-channel, soldered","Western Digital Scorpio Blue WD5000LPVX, 500 GB  ","11.60 inch 16:9, 1366 x 768 pixel, AU Optronics B116XTN02.1, TN LED, glossy: no","1.29 kg ( = 45.5 oz / 2.84 pounds), Power Supply: 272 g ( = 9.59 oz / 0.6 pounds)",249 Euro
