Laptop_name,Year,CPU,GPU,Memory,Storage,Display,Weight(kg),Price
"Apple MacBook Pro 15"" 2.2GHz",2007,Intel Core 2 Duo T7500,NVIDIA GeForce 8600M GT,"2048 MB  ,, DDR2 PC5300 667Mhz SDRAM, max. 4096MB, 2x1024MB",", 120 GB  ","15.40 inch 16:10, 1440 x 900 pixel, WXGA+ TFT display with LED technology, optionally available in a mirroring variant, glossy: no","2.41 kg ( = 85.01 oz / 5.31 pounds), Power Supply: 500 g ( = 17.64 oz / 1.1 pounds)",2338 Euro
"Apple MacBook Pro 15"" 2.4GHz",2007,Intel Core 2 Duo T7700,NVIDIA GeForce 8600M GT,"2048 MB  ,, DDR2 PC5300 667Mhz SDRAM, max. 4096MB, 2x1024MB","160 GB - 5400 rpm, 160 GB  ","15.40 inch 16:10, 1440 x 900 pixel, WXGA+ TFT Display mit LED Technologie, optional auch spiegelnd erhältlich, glossy: no",2.41 kg ( = 85.01 oz / 5.31 pounds) ( = 0 oz / 0 pounds),2400 Euro
Apple MacBook Pro 15,2008,Intel Core 2 Duo T9400,NVIDIA GeForce 9600M GT,"4 GB  ,, GDDR3 1066 MHz",", 320 GB  ","15.40 inch 16:10, 1440 x 900 pixel, glossy crystal coat, glossy: yes","2.49 kg ( = 87.83 oz / 5.49 pounds), Power Supply: 0 g ( = 0 oz / 0 pounds)",2249 Euro
Apple MacBook Aluminium,2008,Intel Core 2 Duo P8600,NVIDIA GeForce 9400M (G) / ION (LE),"2048 MB  ,, DDR3 1066 MHz","250 GB - 5400 rpm, 250 GB  ","13.30 inch 16:10, 1280 x 800 pixel, glossy, glossy: yes","2 kg ( = 70.55 oz / 4.41 pounds), Power Supply: 0 g ( = 0 oz / 0 pounds)",1400 Euro
Apple MacBook Aluminium,2008,Intel Core 2 Duo P8600,NVIDIA GeForce 9400M (G) / ION (LE),"2048 MB  ,, DDR3 1066 MHz","250 GB - 5400 rpm, 250 GB  ","13.30 inch 16:10, 1280 x 800 pixel, glossy, glossy: yes","2 kg ( = 70.55 oz / 4.41 pounds), Power Supply: 0 g ( = 0 oz / 0 pounds)",1400 Euro
Apple MacBook Aluminium,2008,Intel Core 2 Duo P8600,NVIDIA GeForce 9400M (G) / ION (LE),"2048 MB  ,, DDR3 1066 MHz","250 GB - 5400 rpm, 250 GB  ","13.30 inch 16:10, 1280 x 800 pixel, glossy, glossy: yes","2 kg ( = 70.55 oz / 4.41 pounds), Power Supply: 0 g ( = 0 oz / 0 pounds)",1400 Euro
Apple MacBook Pro 15,2008,Intel Core 2 Duo T9400,NVIDIA GeForce 9600M GT,"4 GB  ,, GDDR3 1066 MHz",", 320 GB  ","15.40 inch 16:10, 1440 x 900 pixel, glossy crystal coat, glossy: yes","2.49 kg ( = 87.83 oz / 5.49 pounds), Power Supply: 0 g ( = 0 oz / 0 pounds)",2249 Euro
"Apple MacBook Pro 15"" 4,1 Penryn",2008,Intel Core 2 Duo T9300,NVIDIA GeForce 8600M GT,"4 GB  ,, DDR2 PC5300 667Mhz SDRAM, max. 4096MB, 2x1024MB","250 GB - 5400 rpm, 250 GB  ","15.40 inch 16:10, 1440 x 900 pixel, WXGA+ TFT display with LED technology, optionally also a glossy version is available, glossy: no",2.41 kg ( = 85.01 oz / 5.31 pounds) ( = 0 oz / 0 pounds),2500 Euro
Apple MacBook Air,2008,Intel Core 2 Duo SP7500,Intel Graphics Media Accelerator (GMA) X3100,"2048 MB  ,, DDR2",", 80 GB  ","13.30 inch 16:10, 1280 x 800 pixel, LED background lightening, TN-Panel, glossy: yes","1.37 kg ( = 48.33 oz / 3.02 pounds), Power Supply: 0 g ( = 0 oz / 0 pounds)",1700 Euro
Apple MacBook Pro 15 inch 2009-06,2009,Intel Core 2 Duo P8400,NVIDIA GeForce 9600M GT,"4 GB  ,, DDR3",,"15.40 inch 16:10, 1440 x 900 pixel, glossy: yes",2.5 kg ( = 88.19 oz / 5.51 pounds) ( = 0 oz / 0 pounds),1700 Euro
