Laptop_name,Year,OS,CPU,CPU_Cores,CPU_Threads,CPU_Default_Clock,CPU_Boosted_Clock,CPU_Transistor_Size(nm),CPU_L3(MB),CPU_TDP,GPU,GPU_Memory(GB),GPU_Memory_Type,GPU_Bus_Width(bit),GPU clock,GPU memory clock,Memory,Storage,Display,Weight(kg),Price
HP Pavilion dv3-2390eg,2010,Windows,core i5-430m,2,4,2.267,2.534,32,3.0,35 W,mobility radeon hd 4550,0.5,GDDR3,64,550 MHz,700 MHz,"4 GB  ,, PC3-10600","WDC Scorpio Black WD3200BEKT-60V5T1, 320 GB  ","13.30 inch 16:9, 1366 x 768 pixel, Touchscreen, glossy: yes",2.38,799 Euro
HP ProBook 6540b,2010,Windows,core i5-430m,2,4,2.267,2.534,32,3.0,35 W,mobility radeon hd 4550,0.5,GDDR3,64,550 MHz,700 MHz,"2048 MB  ,, DDR3-1333, 2x 1 GB, maks. 8 GB","320 GB - 7200 rpm, 320 GB  ","15.60 inch 16:9, 1600 x 900 pixel, LG Display LP156WD1-TLD3 / LGD0258, glossy: no",2.762,3160 Euro
HP Mini 210-1021EG,2010,Windows,atom n450,1,2,1.667,,45,,6 W,gma,,,,,System Shared,"1024 MB  ,, PC2-6400 DDR2","Seagate Momentus 7200.4 ST9250410AS, 250 GB  ","10.10 inch 16:9, 1024 x 600 pixel, Framless Design, AUOB101AW03 V1, glossy: yes",1.322,299 Euro
HP Elitebook 8540w,2010,Windows,core i7-620m,2,4,2.677,3.333,32,4.0,35 W,quadro fx 880m,1.0,GDDR3,128,550 MHz,790 MHz,"8 GB  ,, 2x 4GB DDR3 PC3-10600s, 2 Slots","Seagate Momentus 7200.4 ST9500420AS, 500 GB  ","15.60 inch 16:9, 1920 x 1080 pixel, AUO13ED, glossy: no",2.94,2200 Euro
HP ProBook 6540b WD690EA,2010,Windows,core i5-430m,2,4,2.267,2.534,32,3.0,35 W,mobility radeon hd 4550,0.5,GDDR3,64,550 MHz,700 MHz,"2048 MB  ,, DDR3 SRAM PC3-10600","Seagate Momentus 7200.4 ST9320423AS, 320 GB  ","15.60 inch 16:9, 1600 x 900 pixel, non-glare LED TFT , glossy: no",2.768,995 Euro
Lenovo IdeaPad S10-3t,2010,Windows,atom n450,1,2,1.667,,45,,6 W,gma,,,,,System Shared,"1024 MB  ,, DDR2-5300, 667 MHz, Producer: Ramaxel, maximal 2 GByte, 1 Slot","Seagate Momentus 5400.6 ST9250315AS, 250 GB  ","10.10 inch 16:9, 1024 x 600 pixel, LED, Touchscreen (2-finger-multitouch, capacitive), WSVGA, Panel: AUO23D2, glossy: yes",1.55,359 Euro
Lenovo ThinkPad T410s - 2924-9HG,2010,Windows,core i5-580m,2,4,2.667,3.333,32,3.0,35 W,nvs 3100m,0.5,GDDR3,64,606 MHz,790 MHz,"4 GB  ,, DDR3: PC3-10700 (667 MHz)","Intel X18-M G2 SSDSA1M160G2LE, 160 GB  ","14.10 inch 16:10, 1440 x 900 pixel, LEN4036, glossy: no",1.73,2300 Euro
Lenovo ThinkPad T510 - 4384-GEG,2010,Windows,core i7-620m,2,4,2.677,3.333,32,4.0,35 W,nvs 3100m,0.5,GDDR3,64,606 MHz,790 MHz,"4 GB  ,, DDR3 PC3-10700 (667 MHz)","Seagate Momentus 7200.4 ST9500420AS, 500 GB  ","15.60 inch 16:9, 1920 x 1080 pixel, glossy: no",2.81,1800 Euro
Lenovo Thinkpad T410 - 2537-9UG,2010,Windows,core i7-620m,2,4,2.677,3.333,32,4.0,35 W,nvs 3100m,0.5,GDDR3,64,606 MHz,790 MHz,"4 GB  ,, DDR3: PC3-10700 (667 MHz)","Seagate Momentus 7200.4 ST9500420AS, 500 GB  ","14.10 inch 16:10, 1440 x 900 pixel, LEN4036, glossy: no",2.3,1800 Euro
Lenovo IdeaPad S10-3,2010,Windows,atom n450,1,2,1.667,,45,,6 W,gma,,,,,System Shared,"1024 MB  ,, PC2-5300","240 GB - 5400 rpm, 240 GB  ","10.10 inch 10:6, 1024 x 600 pixel, glossy: yes",1.182,400 Euro
Lenovo IdeaPad Z360,2010,Windows,core i5-450m,2,4,2.4,2.666,32,3.0,35 W,geforce 310m,1.0,DDR3,64,606 MHz,667 MHz,"4 GB  ,, DDR3, PC-8500F, Hyundai Electronics",", 500 GB  ","13.30 inch 16:9, 1366 x 768 pixel, Chi Mei N133B6-L02, glossy: yes",2.05,850 Euro
Lenovo IdeaPad Y560-M29B2GE,2010,Windows,core i3-350m,2,4,2.267,,32,3.0,35 W,mobility radeon hd 5730,1.0,GDDR3,128,650 MHz,800 MHz,"4 GB  ,, PC3-10600 Elpida, PC3-8500 Kingston",", 320 GB  ","15.60 inch 16:9, 1366 x 768 pixel, AUO B156XW04 V0, glossy: yes",2.617,899 Euro
Lenovo Thinkpad T410 2522-3FG,2010,Windows,core i7-620m,2,4,2.677,3.333,32,4.0,35 W,nvs 3100m,0.5,GDDR3,64,606 MHz,790 MHz,"4 GB  ,, DDR3; PC3-8500F (533MHz)","Hitachi Travelstar 7K500 HTS725025A9A, 250 GB  ","14.10 inch 16:10, 1440 x 900 pixel, LED Backlight; WWAN antenna integrated, glossy: no",2.31,
Lenovo IdeaPad V560,2010,Windows,core i3-370m,2,4,2.4,,32,3.0,35 W,geforce 310m,1.0,DDR3,64,606 MHz,667 MHz,"4 GB  ,, PC-10600","WDC Scorpio Blue WD6400BEVT-22A0RT0, 640 GB  ","15.60 inch 16:9, 1366 x 768 pixel, LTN156AT05J01, glossy: yes",2.444,749 Euro
NVLDFGE,2010,Windows,core i3-350m,2,4,2.267,,32,3.0,35 W,gma,,,,,System Shared,"2048 MB  ,, Micron Technology - PC3-8500 - 16JSF25664HZ-1G1F1","Seagate Momentus 5400.6 ST9250315AS, 250 GB  ","15.60 inch 16:9, 1366 x 768 pixel, Len40B0 - LP156WH2-TLBA, glossy: no",2.5,
Lenovo Ideapad G560-M277QGE,2010,Windows,core i3-350m,2,4,2.267,,32,3.0,35 W,gma,,,,,System Shared,"2048 MB  ,, PC3-8500 Samsung","WDC Scorpio Blue WD5000BEVT, 500 GB  ","15.60 inch 16:9, 1366 x 768 pixel, LTN156AT05J01, glossy: yes",2.467,549 Euro
Lenovo ThinkPad X201,2010,Windows,core i5-540m,2,4,2.533,3.073,32,3.0,35 W,gma,,,,,System Shared,"4 GB  ,, 2x2GB DDR3-1066, 2 Slots, max. 8GB","Seagate Momentus 7200.4 ST9320423AS, 320 GB  ","12.10 inch 16:10, 1280 x 800 pixel, LP121WX3-TLC1, glossy: no",1.69,1800 Euro
