Laptop_name,Year,OS,CPU,CPU_Cores,CPU_Threads,CPU_Default_Clock,CPU_Boosted_Clock,CPU_Transistor_Size(nm),CPU_L3(MB),CPU_TDP,GPU,GPU_Memory(GB),GPU_Memory_Type,GPU_Bus_Width(bit),GPU clock,GPU memory clock,Memory,Storage,Display,Weight(kg),Price
Lenovo IdeaPad 110-15ISK-80UD00TGSP,2017,Windows,core i3-6100u,2,4,2.3,,14,3.0,15 W,hd graphics 520,,,,300 MHz,System Shared,"4 GB  ,, DDR4 2133MHz", 1TB HDD,"15.60 inch 16:9, 1366 x 768 pixel 100 PPI, TN",2.3,
Lenovo IdeaPad V110-15IAP-80TG00W8GE,2017,Windows,pentium n4200,4,4,1.0,2.5,14,2.0,6 W,hd graphics 505,,,,200 MHz,System Shared,"8 GB  ,, DDR4", 1TB HDD,"15.60 inch 16:9, 1366 x 768 pixel 100 PPI, LED, glossy: no",1.9,400 Euro
Lenovo IdeaPad 510-15ISK-80SR00HHMH,2017,Windows,core i5-6200u,2,4,2.3,2.8,14,3.0,15 W,hd graphics 520,,,,300 MHz,System Shared,"4 GB  ,, DDR4 2133 MHz", 256 GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, IPS, glossy: no",2.2,
Lenovo IdeaPad 310-15ISK-80SM00QHRK,2017,Windows,core i3-6100u,2,4,2.3,,14,3.0,15 W,hd graphics 520,,,,300 MHz,System Shared,"4 GB  ,, DDR4 2133 MHz",,"15.60 inch 16:9, 1366 x 768 pixel 100 PPI, LED TN, glossy: yes",2.2,
20HF0047GE,2017,Windows,core i7-7600u,2,4,2.8,3.9,14,4.0,15 W,hd graphics 620,,,,300 MHz,System Shared,"16 GB  ,, DDR4-2400 MHz, Dual-Channel, 8 GB soldered, 1 Slot (in use), up to 24 GB","Samsung SSD PM961 1TB M.2 PCIe 3.0 x4 NVMe (MZVLW1T0), 1024 GB  ","14.00 inch 16:9, 2560 x 1440 pixel 210 PPI, B140QAN01.5, IPS, glossy: no",1.364,2099 Euro
Lenovo Yoga 710-14 80V4000ERK,2017,Windows,core i5-7200u,2,4,2.5,3.1,14,3.0,15 W,hd graphics 620,,,,300 MHz,System Shared,"8 GB  ,, DDR4 2133 MHz", 256 GB SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, IPS, glossy: yes",1.5,
Lenovo IdeaPad Y900-17ISK- 80Q1006GRA,2017,Windows,core i7-6820hk,4,8,2.7,3.6,14,8.0,45 W,geforce gtx 980m,8.0,GDDR5,256,1038 MHz,1253 MHz,"32 GB  ,, DDR4 2133 MHz"," 1000 GB HDD 5400 rpm, 512 GB SSD","17.30 inch 16:9, 1920 x 1080 pixel 127 PPI, IPS, glossy: no",4.6,
Lenovo Y700-15ISK-80NV0143GE,2017,Windows,core i7-6700hq,4,8,2.6,3.5,14,6.0,45 W,geforce gtx 960m,4.0,GDDR5,128,1097 MHz,1253 MHz,"16 GB  ,, DDR4 2133 MHz", HDD: 1TB + SSD: 256GB,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, IPS, glossy: no",2.6,1400 Euro
Lenovo IdeaPad 700-15ISK 80RU00HVTX,2017,Windows,core i7-6700hq,4,8,2.6,3.5,14,6.0,45 W,geforce gtx 950m,4.0,DDR3,128,993 MHz,900 MHz,16 GB  , 1 TB + 256 GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, IPS, glossy: no",2.3,
Lenovo Ideapad 310-15ISK 80SM00LEGE,2017,Windows,core i5-6200u,2,4,2.3,2.8,14,3.0,15 W,radeon r5 m430,4.0,DDR3,64,780 MHz,1000 MHz,"6 GB  ,, DDR4-2133", 1000 GB HDD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, TFT, glossy: no",2.1,
Lenovo IdeaPad 510-15ISK 80SR00JAMH,2017,Windows,core i5-6200u,2,4,2.3,2.8,14,3.0,15 W,hd graphics 520,,,,300 MHz,System Shared,8 GB  , 1 TB HDD + 128 GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, IPS",2.1,
Lenovo Miix 510-12ISK 80U1000NGE,2017,Windows,core i5-6200u,2,4,2.3,2.8,14,3.0,15 W,hd graphics 520,,,,300 MHz,System Shared,"8 GB  ,, DDR4", 256 GB SSD,"12.20 inch 16:9, 1920 x 1080 pixel 181 PPI, IPS, glossy: yes",1.25,
Lenovo Yoga 510-14ISK 80S700GLGE,2017,Windows,core i3-6100u,2,4,2.3,,14,3.0,15 W,hd graphics 520,,,,300 MHz,System Shared,"4 GB  ,, DDR4",,"14.00 inch 16:9, 1366 x 768 pixel 112 PPI, TFT, glossy: yes",1.73,
Lenovo Yoga 710-80V4000GUS,2017,Windows,core i5-7200u,2,4,2.5,3.1,14,3.0,15 W,hd graphics 620,,,,300 MHz,System Shared,"8 GB  ,, 2133MHz, DDR4, 1/1 slots occupied, Single-Channel", 256GB SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, Capacitive, AU Optronics B140HAN03.0, a-Si WLED TFT, IPS, glossy: yes",1.6,900 Euro
Lenovo IdeaPad 700-15ISK 80RU00P6MH,2017,Windows,core i7-6700hq,4,8,2.6,3.5,14,6.0,45 W,geforce gtx 950m,4.0,DDR3,128,993 MHz,900 MHz,"8 GB  ,, DDR4 2133 MHz", 256 GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, IPS, glossy: no",2.3,
Lenovo Flex 4 1480-80VD0007US,2017,Windows,core i5-7200u,2,4,2.5,3.1,14,3.0,15 W,hd graphics 620,,,,300 MHz,System Shared,"8 GB  ,, DDR4","256 GB NVMe, 256 GB  ","14.10 inch 16:9, 1920 x 1080 pixel 156 PPI, Capacitive, IPS, glossy: no",1.7,700 Euro
Lenovo Yoga 510-14ISK-80S700ADGE,2017,Windows,core i5-6200u,2,4,2.3,2.8,14,3.0,15 W,radeon r5 m430,4.0,DDR3,64,780 MHz,1000 MHz,8 GB  , 256 GB SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, IPS, glossy: yes",1.73,
Lenovo IdeaPad Miix 510-12ISK-80U1000WGE,2017,Windows,core i3-6100u,2,4,2.3,,14,3.0,15 W,hd graphics 520,,,,300 MHz,System Shared,"4 GB  ,, DDR4", 128 GB SSD,"12.20 inch 16:10, 1920 x 1200 pixel 186 PPI, IPS, glossy: yes",1.25,
Lenovo IdeaPad 510S-13IKB-80V00010GE,2017,Windows,core i5-7200u,2,4,2.5,3.1,14,3.0,15 W,hd graphics 620,,,,300 MHz,System Shared,"8 GB  ,, DDR4", 256 GB SSD,"13.30 inch 16:9, 1920 x 1080 pixel 166 PPI, IPS, glossy: no",1.56,
Lenovo Ideapad 310-80TV00BJUS,2017,Windows,core i3-7100u,2,4,2.4,,14,3.0,15 W,hd graphics 620,,,,300 MHz,System Shared,"4 GB  ,, DDR4", 1TB 5400RPM HDD,"15.60 inch 16:9, 1366 x 768 pixel 100 PPI, TN LED, glossy: yes",2.2,500 Euro
Lenovo Ideapad 110-17IKB 80VK0001GE,2017,Windows,core i5-7200u,2,4,2.5,3.1,14,3.0,15 W,radeon r5 m430,4.0,DDR3,64,780 MHz,1000 MHz,"8 GB  ,, DDR4-2400, Dual-Channel, one slot (occupied), 4 GB integrated","WDC Scorpio Blue WD10JPCX-24UE4T0, 1000 GB  ","17.30 inch 16:9, 1600 x 900 pixel 106 PPI, AU Optronics B173RTN02.2, TN LED, glossy: yes",3.0,599 Euro
Lenovo Ideapad 700-15ISK-80RU00L2GE,2017,Windows,core i5-6300hq,4,4,2.3,3.2,14,6.0,45 W,geforce gtx 950m,4.0,DDR3,128,993 MHz,900 MHz,"8 GB  ,, DDR4", 1 TB SATA,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, IPS, glossy: no",2.3,
Lenovo Yoga 710-14IKB-80V4004NMH,2017,Windows,core i7-7500u,2,4,2.7,3.5,14,4.0,15 W,hd graphics 620,,,,300 MHz,System Shared,"8 GB  ,, DDR3L", 256 GB SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, IPS, glossy: no",1.6,17 Euro
Lenovo Ideapad 310-15IKB-80TV013BGE,2017,Windows,core i5-7200u,2,4,2.5,3.1,14,3.0,15 W,geforce 920mx,2.0,DDR3,64,965 MHz,900 MHz,"8 GB  ,, DDR4-2133, 1 of 1 slot occupied", 512GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, BOE NT156FHM-N31, TN LED, glossy: yes",2.2,800 Euro
Lenovo Ideapad 710S-13IKB-80VQ0060GE,2017,Windows,core i7-7500u,2,4,2.7,3.5,14,4.0,15 W,hd graphics 620,,,,300 MHz,System Shared,"8 GB  ,, LPDDR3 1866 MHz","256 GB NVMe, 256 GB  ","3.30 inch 16:9, 1920 x 1080 pixel 668 PPI, IPS, glossy: no",1.2,1200 Euro
Lenovo Ideapad 100S-14IBR-80R9003MSP,2017,Windows,celeron n3050,2,2,1.6,2.16,14,2.0,6 W,hd graphics,,,,350 MHz,System Shared,"2048 MB  ,, 1600 MHz DDR3L", 64 GB SSD eMMC,"14.00 inch 16:9, 1366 x 768 pixel 112 PPI, HD LED, glossy: no",2.5,
Lenovo Yoga 710-14IKB-80V40031SP,2017,Windows,core i7-7500u,2,4,2.7,3.5,14,4.0,15 W,geforce 940mx,2.0,DDR3,64,1004 MHz,1001 MHz,"8 GB  ,, DDR4", 256GB SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, LED, glossy: yes",1.6,17 Euro
LG Gram 14Z970-G,2017,Windows,core i5-7200u,2,4,2.5,3.1,14,3.0,15 W,hd graphics 620,,,,300 MHz,System Shared,8 GB  , 256 GB SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, IPS, glossy: yes",0.98,
LG Gram 15 15Z970-G.AA6BB,2017,Windows,core i7-7500u,2,4,2.7,3.5,14,4.0,15 W,hd graphics 620,,,,300 MHz,System Shared,8 GB  , 256 GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI",1.1,
LG Gram 14 Z970-A.AAS7U1,2017,Windows,core i7-7500u,2,4,2.7,3.5,14,4.0,15 W,hd graphics 620,,,,300 MHz,System Shared,8 GB  ,"512 MB NAND Flash, 0.5 GB  ","14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, IPS, glossy: no",1.71,1400 Euro
LG Gram 14 Z970-A.AAS5U1,2017,Windows,core i5-7200u,2,4,2.5,3.1,14,3.0,15 W,hd graphics 620,,,,300 MHz,System Shared,8 GB  ,"256 GB NVMe, 256 GB  ","14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, IPS, glossy: no",1.71,1100 Euro
LG Gram 13Z970-AAAS5U1,2017,Windows,core i5-7200u,2,4,2.5,3.1,14,3.0,15 W,hd graphics 620,,,,300 MHz,System Shared,8 GB  ,"256 GB NVMe, 256 GB  ","13.30 inch 16:9, 1920 x 1080 pixel 166 PPI, IPS, glossy: no",0.9325,1000 Euro
LG 15GD870-XX70K,2017,Windows,core i7-7700hq,4,8,2.8,3.8,14,6.0,45 W,geforce gtx 1060 mobile,6.0,GDDR5,192,1404 MHz,2002 MHz,"8 GB  ,, DDR4 2133Mhz","256 GB NVMe, 256 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, IPS, glossy: yes",2.5,
LG Gram 15Z960-G.AA7WB,2017,Windows,core i7-6500u,2,4,2.5,3.1,14,4.0,25 W,hd graphics 520,,,,300 MHz,System Shared,4 GB  , 256 GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, IPS, glossy: no",0.98,
LG Gram 15 15Z970-G.AP7SB,2017,Windows,core i7-7500u,2,4,2.7,3.5,14,4.0,15 W,hd graphics 620,,,,300 MHz,System Shared,8 GB  , 256 GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, IPS",1.1,
LG Gram 14Z960,2017,Windows,core i5-6200u,2,4,2.3,2.8,14,3.0,15 W,hd graphics 520,,,,300 MHz,System Shared,8 GB  , 256GB SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, IPS, glossy: no",0.98,
Dell Inspiron 13 7386,2016,Windows,core i5-6200u,2,4,2.3,2.8,14,3.0,15 W,hd graphics 520,,,,300 MHz,System Shared,"8 GB  ,, 1066.7 MHz, 15-15-15-38, Dual-Channel","SanDisk Z400s 256 GB M.2 2280, 256 GB  ","13.30 inch 16:9, 1920 x 1080 pixel 166 PPI, Capacitive, IPS, Name: NV13FHM, Dell P/N: 6NKDX, ID: BOE06A7, glossy: yes",1.6,750 USD
Asus ZenBook 3 UX390UA-GS007R,2016,Windows,core i7-7500u,2,4,2.7,3.5,14,4.0,15 W,hd graphics 620,,,,300 MHz,System Shared,"16 GB  ,, LPDDR3 SDRAM 2133 MHz", 512 GB SSD,"12.50 inch 16:9, 1920 x 1080 pixel 176 PPI, IPS, glossy: yes",0.95,
Asus Zenbook 3 UX390UA-XH74-BL,2016,Windows,core i7-7500u,2,4,2.7,3.5,14,4.0,15 W,hd graphics 620,,,,300 MHz,System Shared,"16 GB  ,, LPDDR3 2133MHz SDRAM Onboard Memory"," 512GB SSD (SATA, M.2 2280)","12.50 inch 16:9, 1920 x 1080 pixel 176 PPI, 72% NTSC, IPS, glossy: yes",0.91,1700 Euro
Asus Strix GL502VS-DB71,2016,Windows,core i7-6700hq,4,8,2.6,3.5,14,6.0,45 W,geforce gtx 1070 mobile,8.0,GDDR5,256,1442 MHz,2002 MHz,"16 GB  ,, DDR4, 2133 MHz, Dual-Channel", 256GB NVMe PCIe SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, LG Philips LP156WF6-SPB6 (LGD046F), IPS, glossy: no",2.6,1700 Euro
Dell Inspiron 17-5758,2015,Windows,core i7-5500u,2,4,2.4,3.0,14,4.0,15 W,geforce 920m,2.0,DDR3,64,954 MHz,900 MHz,"8 GB  ,, DDR3-1600, 2x 4 GB","WDC Scorpio Blue WD10JPVX-75JC3T0, 1000 GB  ","17.30 inch 16:9, 1920 x 1080 pixel, IPS, AU Optronics AUO119D, glossy: no",2.8,879 Euro
R3-131T-C122,2015,Windows,celeron n3050,2,2,1.6,2.16,14,2.0,6 W,hd graphics,,,,350 MHz,System Shared,"2048 MB  ,, DDR3-1600 PC3","HBG3e 32G eMMC, 32 GB  ","11.60 inch 16:9, 1366 x 768 pixel, capacitive touchscreen, AU Optronics B116XW01, TN, Corning Gorilla Glass, glossy: yes",1.42,350 Euro
Acer Predator 15 G9-591-74ZV,2015,Windows,core i7-6700hq,4,8,2.6,3.5,14,6.0,45 W,geforce gtx 980m,8.0,GDDR5,256,1038 MHz,1253 MHz,"16 GB  ,, 2x 8 GB DDR4-RAM (2133 MHz), 2 of 4 slots filled, max. 64 GB","Lite-On CV1-8B256, 256 GB  ","15.60 inch 16:9, 1920 x 1080 pixel, LG LP156WF6-SPP1 (LGD04D5), IPS, Full HD, glossy: no",3.6,2200 Euro
Lenovo Yoga 3 Pro,2014,Windows,core m-5y70,2,4,1.1,2.6,14,4.0,5 W,hd graphics 5300,,,,300 MHz,System Shared,"8 GB  ,, LPDDR3-1600, Soldered","Samsung SSD PM851 256 GB MZNTE256HMHP, 256 GB  ","13.30 inch 16:9, 3200 x 1800 pixel, 10-finger multi-touch, Samsung TN133YL03L01, IPS panel, LED backlight, Corning glass, glossy: yes",1.202,1600 Euro
Lenovo IdeaPad Y50-7059424712),2014,Windows,core i7-4710hq,4,8,2.5,3.5,22,6.0,47 W,geforce gtx 860m,4.0,GDDR5,128,1020 MHz,1253 MHz,"16 GB  ,, 2x 8 GB PC3-12800 DDR3 SDRAM","Samsung SSD PM851 512 GB MZ7TE512HMHP, 512 GB  ","15.60 inch 16:9, 3840 x 2160 pixel, Samsung FLLTN156FL02L01, glossy: yes",2.29,1499 Euro
Gigabyte P35X v3,2014,Windows,core i7-4710hq,4,8,2.5,3.5,22,6.0,47 W,geforce gtx 980m,8.0,GDDR5,256,1038 MHz,1253 MHz,"16 GB  ,, 2x 8 GB SO-DIMM DDR3-RAM PC3-12800 (1600 MHz), 2 of 2 Slots filled, max. 16 GB","2x Lite-On LMT-128L9M (RAID 0) , 256 GB  ","15.60 inch 16:9, 2880 x 1620 pixel, Panasonic VVX16T028J00 (MEI96A2), IPS, WQHD+, glossy: no",2.5,2400 Euro
Gigabyte P35W v2,2014,Windows,core i7-4710hq,4,8,2.5,3.5,22,6.0,47 W,geforce gtx 870m,3.0,GDDR5,192,941 MHz,1250 MHz,"16 GB  ,, Transcend TS1GSK64W6H","2x Lite-On LMT-128M6M (RAID 0) , 256 GB  ","15.60 inch 16:9, 1920 x 1080 pixel, LG Philips 156WF4, IPS, glossy: no",2.5,1800 Euro
Gigabyte P34G v2,2014,Windows,core i7-4700hq,4,8,2.4,3.4,22,6.0,47 W,geforce gtx 860m,4.0,GDDR5,128,1020 MHz,1253 MHz,"8 GB  ,, DDR3, 1600 MHz, single-channel, 2 banks, one filled","Liteonit LMT-128M6M, 128 GB  ","14.00 inch 16:9, 1920 x 1080 pixel, AU Optronics AUO113D, IPS, glossy: no",1.752,1500 Euro
Gigabyte U24T,2014,Windows,core i7-4500u,2,4,1.8,3.0,22,4.0,15 W,geforce gt 750m,2.0,GDDR5,128,941 MHz,1003 MHz,"16 GB  ,, PC3-12800 DDR3 SDRAM","Liteonit LMT-128M6M, 128 GB  ","14.00 inch 16:9, 1366 x 768 pixel, capacitive multi-touch, AU Optronics B140XW02 V3, TN, glossy: yes",1.78,1399 Euro
HP ProBook 450 G2 L3Q27EA,2014,Windows,core i5-5200u,2,4,2.2,2.7,14,3.0,15 W,hd graphics 5500,,,,300 MHz,System Shared,"4 GB  ,, DDR3, single channel, two RAM slots (one slot used)","Samsung SSD PM851 128 GB MZ7TE128HMGR, 128 GB  ","15.60 inch 16:9, 1366 x 768 pixel, AU Optronics B156XW04 V1, TN LED, glossy: no",2.1,800 Euro
HP Envy X2-j001ng,2014,Windows,core m-5y70,2,4,1.1,2.6,14,4.0,5 W,hd graphics 5300,,,,300 MHz,System Shared,"8 GB  ,, dual-channel 1600 MHz LPDDR3","Samsung SSD PM851 256 GB MZ7TE256HMHP, 256 GB  ","13.30 inch 16:9, 1920 x 1080 pixel, capacitive, Samsung SDC3959, IPS, glossy: yes",1.796,999 Euro
HP Pavilion 11-n070eg x360,2014,Windows,celeron n2820,2,2,2.17,2.39,22,,7 W,hd graphics,,,,350 MHz,System Shared,"4 GB  ,, 1 slot","Seagate Momentus Thin ST500LT012-1DG142, 500 GB  ","11.60 inch 16:9, 1366 x 768 pixel, Capacitive, Multitouch, Chi Mei CMN1118, LED, glossy: yes",1.496,399 Euro
HP Envy 15-u001ng x360,2014,Windows,core i5-4210u,2,4,1.7,2.7,22,3.0,15 W,hd graphics 4400,,,,200 MHz,System Shared,"8 GB  ,, PC3-12800","HGST Travelstar 5K1000 HTS541010A7E630, 1000 GB  ","15.60 inch 16:9, 1920 x 1080 pixel, capacitive touchscreen, TN LED, glossy: yes",2.4,699 Euro
HP Probook 430 G2,2014,Windows,core i5-4210u,2,4,1.7,2.7,22,3.0,15 W,hd graphics 4400,,,,200 MHz,System Shared,"4 GB  ,, DDR3, single-channel, two memory banks (one bank filled)","Samsung SSD 840 PRO MZ7PD128HCFV-000H1, 128 GB  ","13.30 inch 16:9, 1366 x 768 pixel, Samsung, TN LED, glossy: no",1.5,749 Euro
HP Pavilion 17-f130ng,2014,Windows,a10-5745m,4,4,2.1,2.9,32,,25 W,radeon r7 m260,2.0,DDR3,64,940 MHz,900 MHz,"8 GB  ,, DDR3, single-channel, two memory banks (one bank filled)",", 500 GB  ","17.30 inch 16:9, 1920 x 1080 pixel, Au Optronics, TN LED, glossy: no",2.9,559 Euro
HP ProBook 470 G2G6W68EA),2014,Windows,core i5-4210u,2,4,1.7,2.7,22,3.0,15 W,radeon r5 m255,1.0,GDDR5,128,925 MHz,1000 MHz,"4 GB  ,, DDR3L, 1600 MHz, Single-Channel, 2 RAM slots, 1 free","Seagate Momentus Thin ST500LT012-1DG142, 500 GB  ","17.30 inch 16:9, 1600 x 900 pixel, Chi Mei CMN1731, TN LED, glossy: no",2.87,730 Euro
HP Envy x2 15-c000ng,2014,Windows,core m-5y10,2,4,0.8,2.0,14,4.0,5 W,hd graphics 5300,,,,300 MHz,System Shared,"4 GB  ,, DDR3, dual-channel, no memory banks, soldered memory",,"15.60 inch 16:9, 1920 x 1080 pixel, 10 point multi-touch, Samsung, IPS, glossy: yes",2.46,799 Euro
HP 350 G1,2014,Windows,core i5-4210u,2,4,1.7,2.7,22,3.0,15 W,radeon hd 8670m,1.0,DDR3,64,925 MHz,1000 MHz,"4 GB  ,, DDR3, Single-channel, Two memory banks (one occupied)","Seagate Momentus ST750LM022 HN-M750MB, 750 GB  ","15.60 inch 16:9, 1366 x 768 pixel, Samsung, TN LED, glossy: no",2.3,599 Euro
HP 255 G2,2014,Windows,e1-2100,2,2,1.0,,28,,9 W,radeon hd 8210,,,,300 MHz,System Shared,"4 GB  ,, DDR3",", 500 GB  ","15.60 inch 16:9, 1366 x 768 pixel, Chi Mei CMO15A1, TN LED, glossy: no",2.5,379 Euro
HP Pavilion 15-p008ng,2014,Windows,core i5-4210u,2,4,1.7,2.7,22,3.0,15 W,geforce 840m,2.0,DDR3,64,1029 MHz,1001 MHz,"4 GB  ,, DDR3-1600, single-channel, two memory banks (one filled)","HGST Travelstar 5K1000 HTS541075A9E680, 750 GB  ","15.60 inch 16:9, 1920 x 1080 pixel, Chi Mei CMN15B9, TN LED, glossy: no",2.4,599 Euro
HP Pavilion Sleekbook TouchSmart 11-e010sg,2014,Windows,a4-1250,2,2,1.0,,28,,8 W,radeon hd 8210,,,,300 MHz,System Shared,"4 GB  ,, 1x 4096 MB DDR3-1333 (667 MHz)","Toshiba MQ01ABF050, 500 GB  ","11.60 inch 16:9, 1366 x 768 pixel, TN-Panel, glossy: yes",1.4,
HP Spectre 13-3010eg,2014,Windows,core i7-4500u,2,4,1.8,3.0,22,4.0,15 W,hd graphics 4400,,,,200 MHz,System Shared,"8 GB  ,, DDR3, 1.600 MHz, dual channel","Sandisk X110 SD6SN1M-256G-1006, 256 GB  ","13.30 inch 16:9, 2560 x 1440 pixel, capacitive, 10 points, LG Philips LGD0000, IPS, Quad HD, glossy: yes",1.48,1300 Euro
HP EliteBook Folio 1040 G1F2R72UT),2014,Windows,core i7-4650u,2,4,1.7,3.3,22,4.0,15 W,hd graphics 5000,,,,200 MHz,System Shared,"8 GB  ,, DDR3-1600 (1 DIMM + 4 GB soldered)","Sandisk X110 SD6SN1M-256G-1006, 256 GB  ","14.00 inch 16:9, 1920 x 1080 pixel, AUO123D, IPS, glossy: no",1.53,2400 Euro
HP EliteBook 850 G1-H5G44ET,2014,Windows,core i7-4600u,2,4,2.1,3.3,22,4.0,15 W,radeon hd 8750m,1.0,GDDR5,128,620 MHz,1000 MHz,"8 GB  ,, 2x 4 GB DDR3L-1600, 2 Slots","Intel SSD Pro 1500 Series SSDSC2BF180A4H, 180 GB  ","15.60 inch 16:9, 1920 x 1080 pixel, Chi Mei CMN15C2, TN-Panel, LED-Backlight, glossy: no",2.033,1600 Euro
HP Probook 645 G1,2014,Windows,a6-5350m,2,2,2.9,3.5,32,,35 W,radeon hd 8450g,,,,533 MHz,System Shared,"4 GB  ,, DDR3, single-channel, two memory banks (one bank filled)",", 500 GB  ","14.00 inch 16:9, 1366 x 768 pixel, Chi Mei, TN LED, glossy: no",2.0,749 Euro
HP EliteBook 840 G1,2014,Windows,core i7-4600u,2,4,2.1,3.3,22,4.0,15 W,hd graphics 4400,,,,200 MHz,System Shared,"8 GB  ,, 2x 4 GB DDR3L-1600, 2 Slots","Intel SSD Pro 1500 Series SSDSC2BF180A4H, 180 GB  ","14.00 inch 16:9, 1600 x 900 pixel, Chi Mei CMN14A3, TN-Panel, LED-Backlight, glossy: no",1.78,1650 Euro
HP ProBook 655,2014,Windows,a6-5350m,2,2,2.9,3.5,32,,35 W,radeon hd 8450g,,,,533 MHz,System Shared,"4 GB  ,, DDR3, Single-channel, Two memory banks (one bank occupied)",", 500 GB  ","15.60 inch 16:9, 1366 x 768 pixel, LG LGD03E0, TN LED, glossy: no",2.3,749 Euro
HP ZBook 14,2014,Windows,core i7-4600u,2,4,2.1,3.3,22,4.0,15 W,firepro m4100,2.0,GDDR5,128,670 MHz,1000 MHz,"8 GB  ,, 1 x 8 GB PC3-12800 DDR3, up to 16 GB, 1 empty slot","Samsung SSD 840 Pro 256GB MZ7PD256HAFV-0Z000, 256 GB  ","14.00 inch 16:9, 1920 x 1080 pixel, LGD040A, LED IPS, glossy: no",1.78,
HP EliteBook Folio 1040 G1H5F62ET),2014,Windows,core i5-4200u,2,4,1.6,2.6,22,3.0,15 W,hd graphics 4400,,,,200 MHz,System Shared,"4 GB  ,, DDR3L-1600 single-channel","Intel SSD Pro 1500 Series SSDSC2BF180A4H, 180 GB  ","14.00 inch 16:9, 1600 x 900 pixel, Chi Mei CMN1482, TN LED, glossy: no",1.5,2000 Euro
HP EliteBook 820 G1,2014,Windows,core i7-4600u,2,4,2.1,3.3,22,4.0,15 W,hd graphics 4400,,,,200 MHz,System Shared,"8 GB  ,, 2x 4 GB DDR3L-1600, 2 slots","Intel SSD Pro 1500 Series SSDSC2BF180A4H, 180 GB  ","12.50 inch 16:9, 1366 x 768 pixel, AUO206C, TN screen, LED backlight, glossy: no",1.523,1700 Euro
HP Pavilion 15-n213eg,2014,Windows,core i5-4200u,2,4,1.6,2.6,22,3.0,15 W,geforce gt 740m,2.0,DDR3,64,980 MHz,900 MHz,"8 GB  ,, DDR3, dual channel, two RAM slots (both occupied)",", 1000 GB  ","15.60 inch 16:9, 1366 x 768 pixel, LG Philipps LGD039F, glossy: yes",2.3,599 Euro
HP EliteBook 850 G1-H5G34ET,2014,Windows,core i5-4200u,2,4,1.6,2.6,22,3.0,15 W,hd graphics 4400,,,,200 MHz,System Shared,"4 GB  ,, 1x 4 GB DDR3L-1600, 2 Slots",", 500 GB  ","15.60 inch 16:9, 1920 x 1080 pixel, Chi Mei CMN15C2, TN Panel, LED Backlight, glossy: no",1.97,1000 Euro
HP ProBook 455 G1 H6P57EA,2014,Windows,a4-4300m,2,2,2.5,3.0,32,,35 W,radeon hd 7420g,,,,480 MHz,System Shared,"4 GB  ,, DDR3, single-channel, one of two memory banks occupied","Seagate Momentus Thin ST500LT012-1DG142, 500 GB  ","15.60 inch 16:9, 1366 x 768 pixel, AU Optronics B156XW04 V6, TN LED, glossy: no",2.3,499 Euro
HP ProBook 650 G1 H5G74E,2014,Windows,core i3-4000m,2,4,2.4,,22,3.0,37 W,hd graphics 4600,,,,350 MHz,System Shared,"4 GB  ,, DDR3, Single-Channel, two slots, one occupied",", 500 GB  ","15.60 inch 16:9, 1366 x 768 pixel, LG Display LGD03E0, TN LED, glossy: no",2.32,799 Euro
Lenovo IdeaPad Y50,2014,Windows,core i7-4700hq,4,8,2.4,3.4,22,6.0,47 W,geforce gtx 860m,4.0,GDDR5,128,1020 MHz,1253 MHz,"16 GB  ,, Dual-Channel 800 MHz 11-11-11-28","Western Digital WD10S21X SSHD 1TB + 8GB SSD-Cache, 1000 GB  ","15.60 inch 16:9, 1920 x 1080 pixel, Chi Mei CMN15C4 (N156HGE-EAB), TN LED, glossy: no",2.4,1050 Euro
Lenovo Edge 15-80H10004US,2014,Windows,core i5-4210u,2,4,1.7,2.7,22,3.0,15 W,hd graphics 4400,,,,200 MHz,System Shared,"6 GB  ,, DDR3L PC3L-12800","WDC Slim WD10SPCX-22HWST0, 1000 GB  ","15.60 inch 16:9, 1920 x 1080 pixel, 10-point, LGD044F, IPS, glossy: yes",2.418,699 Euro
