,OS,CPU_Threads,CPU_Boosted_Clock,CPU_L3(MB),CPU_TDP(W),GPU_Memory(GB),GPU_Memory_Type,GPU memory clock(MHz),RAM(GB),RAM_DDR,Storage(GB),Display_Inch,Display_Height(pixel),Weight(kg)
149,Windows,16,4.7,24,45,8,GDDR6,1750,16,5,1024,15.6,2560,1.952
1250,Windows,8,3.7,6,15,0,,0,8,4,256,14.0,1920,1.527
1803,Windows,8,4.2,8,28,0,,0,16,4,1024,15.6,1920,1.75
1349,Windows,16,4.3,8,15,4,GDDR5,2001,16,4,1024,15.6,1920,2.15
0,Windows,20,4.7,24,45,6,GDDR6,1375,32,5,1024,16.0,2560,2.372
930,Windows,12,5.0,12,45,8,GDDR6,1375,32,4,512,15.6,1920,2.8
1035,Windows,12,4.0,11,54,4,GDDR5,2001,16,4,512,15.6,1920,2.2
986,Windows,16,4.8,24,35,6,GDDR6,1750,16,4,512,16.0,3840,1.86
518,Windows,12,4.5,12,35,4,GDDR6,1500,16,4,512,15.6,1920,2.18
1512,Windows,16,4.2,12,54,6,GDDR6,1750,16,4,1024,15.6,1920,2.3
1124,Windows,12,5.0,12,45,8,GDDR6,1750,16,4,512,17.3,1920,2.9
535,Windows,8,4.5,8,28,0,,0,16,4,512,17.3,1920,2.08
1570,Windows,16,4.8,24,35,4,GDDR6,1375,32,4,2048,15.6,3840,2.006
1084,Windows,8,4.7,12,28,0,,0,16,4,1024,17.0,2560,1.35
1601,Windows,8,4.9,8,25,0,,0,8,4,256,14.0,1920,1.61
1590,Windows,8,4.4,8,28,0,,0,16,4,256,13.3,1920,1.2
289,Windows,20,5.0,24,45,6,GDDR6,1750,16,5,1024,17.3,2560,2.9
656,Windows,16,4.6,24,35,6,GDDR6,1750,32,4,512,16.0,3840,1.81
1488,Windows,4,3.4,4,15,0,,0,4,4,128,15.6,1920,1.8
1550,Windows,16,4.6,16,35,4,GDDR6,1500,16,4,1024,13.4,1920,1.3
64,Windows,20,4.7,24,45,6,GDDR6,1750,16,4,512,14.0,2880,1.7
895,Windows,12,4.0,8,15,0,,0,16,4,512,14.0,1920,1.38
401,Windows,16,4.6,24,35,8,GDDR6,1750,16,4,1024,15.6,3840,2.0
1800,Windows,12,4.0,8,15,0,,0,8,4,512,15.6,1920,1.75
633,Windows,16,4.6,24,35,4,GDDR6,1250,16,4,512,16.0,2560,1.842
745,Windows,20,4.8,24,28,4,GDDR6,1500,32,4,2048,16.0,2560,1.9
1133,Windows,16,5.1,16,45,6,GDDR6,1750,16,4,1024,17.3,1920,2.9
362,Windows,8,4.5,8,28,0,,0,8,4,256,14.0,1920,1.435
1259,Windows,8,4.2,8,28,0,,0,8,4,512,14.0,1920,1.6
1661,Windows,16,5.3,16,45,8,GDDR6,1750,64,4,2048,15.6,3840,2.0
374,Windows,12,4.4,12,15,0,,0,16,4,512,15.6,1920,1.54
1763,Windows,8,4.7,12,28,0,,0,16,4,1024,13.3,1920,1.27
1159,Windows,16,4.6,24,35,8,GDDR6,1750,32,4,1024,17.3,1920,2.45
1006,Windows,8,4.5,6,45,4,GDDR5,1751,16,4,512,15.6,1920,1.9
799,Windows,16,4.4,12,28,0,,0,16,4,512,14.0,1920,1.29
1547,Windows,16,4.4,16,35,4,GDDR5,1751,16,4,512,13.4,1920,1.3
5,Windows,16,4.7,18,28,0,,0,16,4,1024,14.2,3120,1.268
321,Windows,4,3.3,4,6,0,,0,4,4,512,11.6,1366,1.26
