Laptop_name,Year,CPU,GPU,Memory,Storage,Display,Weight(kg),Price
HP Probook 440 G5-2RS30EA,2018,Intel Core i5-8250U,Intel UHD Graphics 620,8 GB  , 256 GB SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, glossy: no",1.65 kg ( = 58.2 oz / 3.64 pounds) ( = 0 oz / 0 pounds),
HP Envy x360 15-bp180nz,2018,Intel Core i7-8550U,Intel UHD Graphics 620,"16 GB  ,, DDR4-2400 SDRAM (2 x 8 GB)","512 MB NAND Flash, 0.5 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, Capacitive, IPS, glossy: yes",2.06 kg ( = 72.66 oz / 4.54 pounds) ( = 0 oz / 0 pounds),1200 Euro
HP 14-bp001ng,2018,Intel Pentium N3710,Intel HD Graphics 405 (Braswell),"4 GB  ,, DDR3L, Single-Channel","Toshiba MQ01ABF050, 500 GB  ","14.00 inch 16:9, 1366 x 768 pixel 112 PPI, BOE0697, TN LED, glossy: no","1.55 kg ( = 54.67 oz / 3.42 pounds), Power Supply: 280 g ( = 9.88 oz / 0.62 pounds)",349 Euro
HP Envy 13-ad106ns,2018,Intel Core i5-8250U,Intel UHD Graphics 620,8 GB  , 128 GB SSD,"13.30 inch 16:9, 1920 x 1080 pixel 166 PPI",1.23 kg ( = 43.39 oz / 2.71 pounds) ( = 0 oz / 0 pounds),
HP 15-bs119ns,2018,Intel Core i5-8250U,Intel UHD Graphics 620,8 GB  , 256 GB SSD,"15.60 inch 16:9, 1366 x 768 pixel 100 PPI",1.91 kg ( = 67.37 oz / 4.21 pounds) ( = 0 oz / 0 pounds),
HP Spectre 13-ae001nc x360,2018,Intel Core i5-8250U,Intel HD Graphics 620,8 GB  , 256 GB SSD,"13.30 inch 16:9, 1920 x 1080 pixel 166 PPI, glossy: yes",1.26 kg ( = 44.45 oz / 2.78 pounds) ( = 0 oz / 0 pounds),
HP Omen 15-ce003nl,2018,Intel Core i7-7700HQ,NVIDIA GeForce GTX 1050 Mobile,16 GB  , 256 GB SSD + 1000 GB HDD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, glossy: no",2.6 kg ( = 91.71 oz / 5.73 pounds) ( = 0 oz / 0 pounds),
HP ProBook 430 G5-2SY09EA,2018,Intel Core i5-8250U,Intel UHD Graphics 620,8 GB  , 256 GB SSD,"13.30 inch 16:9, 1920 x 1080 pixel",1.5 kg ( = 52.91 oz / 3.31 pounds) ( = 0 oz / 0 pounds),
HP 17-BS100NS,2018,Intel Core i5-8250U,AMD Radeon 530,8 GB  , 1 TB HDD,"17.30 inch 16:9, 1600 x 900 pixel 106 PPI, glossy: yes",2.6 kg ( = 91.71 oz / 5.73 pounds) ( = 0 oz / 0 pounds),
HP Stream 11-aa001ns,2018,Intel Celeron N3060,Intel HD Graphics 400 (Braswell),2048 MB  ,,"11.60 inch 16:9, 1366 x 768 pixel 135 PPI, glossy: yes",1.35 kg ( = 47.62 oz / 2.98 pounds) ( = 0 oz / 0 pounds),
HP ProBook 450 G5-2UB53EA,2018,Intel Core i5-8250U,Intel UHD Graphics 620,"8 GB  ,, DDR4-2400","SanDisk SD8SN8U256G1006, 256 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, AUO41ED, IPS LED, glossy: no","2.1 kg ( = 74.08 oz / 4.63 pounds), Power Supply: 283 g ( = 9.98 oz / 0.62 pounds)",849 Euro
HP Spectre 13-af033ng,2018,Intel Core i7-8550U,Intel UHD Graphics 620,"8 GB  ,, 2 x 4 GB LPDDR3-2133",", 512 GB  ","13.30 inch 16:9, 1920 x 1080 pixel 166 PPI, yes, multitouch, AU Optronics AUO422D, IPS, glossy: yes","1.11 kg ( = 39.15 oz / 2.45 pounds), Power Supply: 245 g ( = 8.64 oz / 0.54 pounds)",1599 Euro
HP Pavilion 15-ck003nb,2018,Intel Core i5-8250U,Intel UHD Graphics 620,8 GB  , 1 TB HDD + 128 GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, glossy: no",1.9 kg ( = 67.02 oz / 4.19 pounds) ( = 0 oz / 0 pounds),
HP ProBook 470 G5-2TT74UT,2018,Intel Core i7-8550U,NVIDIA GeForce 930MX,"8 GB  ,, DDR4-2400 SDRAM (1 x 8 GB)", 1TB 5400rpm SATA,"17.30 inch 16:9, 1920 x 1080 pixel 127 PPI, IPS, glossy: no",2.495 kg ( = 88.01 oz / 5.5 pounds) ( = 0 oz / 0 pounds),900 Euro
HP Envy x360 15-bq100nl,2018,AMD Ryzen 5 2500U,AMD Radeon RX Vega 8 (Ryzen 2000/3000),8 GB  , 256 GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, glossy: yes",2.06 kg ( = 72.66 oz / 4.54 pounds) ( = 0 oz / 0 pounds),
HP Pavilion 14-bf001nd,2018,Intel Core i3-7100U,Intel HD Graphics 620,6 GB  , 256 GB SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, glossy: yes",1.53 kg ( = 53.97 oz / 3.37 pounds) ( = 0 oz / 0 pounds),
HP Omen X 17-ap0xx,2018,Intel Core i7-7820HK,NVIDIA GeForce GTX 1080 Mobile,"16 GB  ,, DDR4-2666 / PC4-21300, 1333.3 MHz",", 256 GB  ","17.30 inch 16:9, 1920 x 1080 pixel 127 PPI, AU Optronics B173HW01, IPS, 120 Hz refresh, glossy: no","4.867 kg ( = 171.68 oz / 10.73 pounds), Power Supply: 1.238 kg ( = 43.67 oz / 2.73 pounds)",2270 USD
HP 15-bs092NS,2018,Intel Celeron N3060,Intel HD Graphics 400 (Braswell),8 GB  , 500 GB HDD,"15.60 inch 16:9, 1366 x 768 pixel 100 PPI, glossy: yes",2.1 kg ( = 74.08 oz / 4.63 pounds) ( = 0 oz / 0 pounds),
