Laptop_name,Year,CPU,GPU,Memory,Storage,Display,Weight(kg),Price
Asus Eee PC S101,2009,Intel Atom N270,Intel Graphics Media Accelerator (GMA) 950,"1024 MB  ,, PC6400","16 GB SSD, 16 GB  ","10.20 inch 16:9, 1024 x 600 pixel, WSVGA LED-backlight TFT, glossy: no","1.09 kg ( = 38.45 oz / 2.4 pounds), Power Supply: 220 g ( = 7.76 oz / 0.49 pounds)",500 Euro
Asus Eee PC 1000H,2009,Intel Atom N270,Intel Graphics Media Accelerator (GMA) 950,"1024 MB  ,, DDR2 PC5300","160 GB - 5400 rpm, 160 GB  ","10.20 inch 16:10, 1024 x 600 pixel, glossy: no","1.45 kg ( = 51.15 oz / 3.2 pounds), Power Supply: 210 g ( = 7.41 oz / 0.46 pounds)",370 Euro
Dell Studio XPS 16,2009,Intel Core 2 Duo T9400,ATI Mobility Radeon HD 3670,"4 GB  ,, DDR3, PC3-8500F, 2x2048MB, max. 8GB","500 GB - 5400 rpm, 500 GB  ","16.00 inch 16:9, 1920 x 1080 pixel, Full-HD RGB-LED LCD, glossy: yes","3.05 kg ( = 107.59 oz / 6.72 pounds), Power Supply: 460 g ( = 16.23 oz / 1.01 pounds)",1699 Euro
Dell Studio XPS 164670),2009,Intel Core 2 Duo P9700,ATI Mobility Radeon HD 4670,"4 GB  ,, DDR3 PC3-8500F, 2x2048MB, max 8GB","Seagate Momentus 7200.4 ST9500420ASG, 500 GB  ","16.00 inch 19:9, 1920 x 1080 pixel, Truelife 1080p Full HD RGBLED-Display, glossy: yes","3.26 kg ( = 114.99 oz / 7.19 pounds), Power Supply: 470 g ( = 16.58 oz / 1.04 pounds)",1650 Euro
Dell Studio XPS 13,2009,Intel Core 2 Duo P9500,NVIDIA GeForce 9500M G,"4 GB  ,, DDR3 PC3-8500, 2x2048MB, max. 4096MB",", 128 GB  ","13.30 inch 16:10, 1280 x 1024 pixel, WXGA White-LED-Display, glossy: yes","2.19 kg ( = 77.25 oz / 4.83 pounds), Power Supply: 480 g ( = 16.93 oz / 1.06 pounds)",1800 Euro
Dell Latitude E6400 XFR,2009,Intel Core 2 Duo P9600,NVIDIA Quadro NVS 160M,"4 GB  ,, DDR2-800 6-6-6-18","Samsung RBX Series 6, 64 GB  ","14.10 inch 16:10, 1280 x 800 pixel, wide-aspect transmissive DirectVue, glossy: no",3.87 kg ( = 136.51 oz / 8.53 pounds) ( = 0 oz / 0 pounds),4160 Euro
Dell Inspiron 1750,2009,Intel Pentium Dual Core T4200,Intel Graphics Media Accelerator (GMA) 4500MHD,"4 GB  ,, DDR2 - PC26400, 2x2048MB, max. 8GB",,"17.30 inch 16:9, 1600 x 900 pixel, WLED HD TrueLife, glossy: yes","3.08 kg ( = 108.64 oz / 6.79 pounds), Power Supply: 370 g ( = 13.05 oz / 0.82 pounds)",600 Euro
Dell Latitude XT2,2009,Intel Core 2 Duo SU9400,Intel Graphics Media Accelerator (GMA) 4500MHD,"2048 MB  ,, 1GB DDR3-800 welded, 1GB im 2.Slot, max. 5GB RAM","Samsung PB22-JS3TM, 64 GB  ","12.00 inch 16:10, 1280 x 800 pixel, AUOA114/ N-Trig, glossy: no","1.62 kg ( = 57.14 oz / 3.57 pounds), Power Supply: 430 g ( = 15.17 oz / 0.95 pounds)",1850 Euro
Dell Inspiron 11z,2009,Intel Pentium Dual Core SU4100,Intel Graphics Media Accelerator (GMA) 4500MHD,"2048 MB  ,, PC2-6400, 2 Slots, max. 4GB",", 320 GB  ","11.60 inch 16:9, 1366 x 768 pixel, WLED Truelife, SEC5441, glossy: yes","1.38 kg ( = 48.68 oz / 3.04 pounds), Power Supply: 410 g ( = 14.46 oz / 0.9 pounds)",550 Euro
Dell Studio 1557,2009,Intel Core i7-720QM,ATI Mobility Radeon HD 4570,"4 GB  ,, DDR3-1333, 2x2GB in 2 Slots, max. 8GB","WDC Scorpio Black WD3200BEKT-75F3T, 320 GB  ","15.60 inch 16:9, 1366 x 768 pixel, Truelife, glossy: yes","2.6 kg ( = 91.71 oz / 5.73 pounds), Power Supply: 470 g ( = 16.58 oz / 1.04 pounds)",850 Euro
