Laptop_name,Year,CPU,GPU,Memory,Storage,Display,Weight(kg),Price
MSI CreatorPro Z16P B12UKST,2022,Intel Core i7-12700H,NVIDIA RTX A3000 Laptop GPU,"32 GB  ,, DDR5-4800, dual-channel, max. 64 GB",", 1024 GB  ","16.00 inch 16:10, 2560 x 1600 pixel 189 PPI, B160QAN02.N, IPS, glossy: yes, 165 Hz","2.372 kg ( = 83.67 oz / 5.23 pounds), Power Supply: 757 g ( = 26.7 oz / 1.67 pounds)",3500 Euro
"Xiaomi RedmiBook Pro 15, i5-11320H iGPU",2022,Intel Core i5-11320H,Intel Iris Xe Graphics G7 96EUs,"16 GB  ,, DDR4-3200", 512GB SSD,"15.60 inch 16:10, 3200 x 2000 pixel 141 PPI, IPS, glossy: no, 90 Hz",1.745 kg ( = 61.55 oz / 3.85 pounds) ( = 0 oz / 0 pounds),
LG Ultra-PC 16 16U70Q-G.AR36G,2022,AMD Ryzen 3 5300U,AMD Radeon RX Vega 6 (Ryzen 4000/5000),"8 GB  ,, Dual channel, LPDDR4X-4266, soldered, no free slot","Samsung PM991 MZVLQ512HBLU, 512 GB  ","16.00 inch 16:10, 1280 x 1200 pixel 110 PPI, LG Display LP160WU1-SPH1, IPS, glossy: no, 60 Hz","1.599 kg ( = 56.4 oz / 3.53 pounds), Power Supply: 401 g ( = 14.14 oz / 0.88 pounds)",
Lenovo Legion Slim 7-16IAH 82TF004YGE,2022,Intel Core i7-12700H,NVIDIA GeForce RTX 3060 Laptop GPU,"16 GB  ,, DDR5-4800, 8 GB on-board, 1x SO-DIMM, dual channel",", 1024 GB  ","16.00 inch 16:10, 2560 x 1600 pixel 188 PPI, MNG007DA1-G , IPS LED, Nvidia G-Sync, glossy: no, HDR, 165 Hz","2.206 kg ( = 77.81 oz / 4.86 pounds), Power Supply: 871 g ( = 30.72 oz / 1.92 pounds)",2200 Euro
Lenovo Legion S7 16ARHA7,2022,AMD Ryzen 9 6900HX,AMD Radeon RX 6800S,"16 GB  ,, 8 GB soldered + 8 GB DDR5-4800, Dual-Channel, 40-39-39-77, Dual-Channel",", 1024 GB  ","16.00 inch 16:10, 2560 x 1600 pixel 189 PPI, BOE CQ NE160QDM-NY1, IPS, BOE0A9B, glossy: no, 165 Hz","2.181 kg ( = 76.93 oz / 4.81 pounds), Power Supply: 843 g ( = 29.74 oz / 1.86 pounds)",1950 USD
Huawei MateBook X Pro 2022,2022,Intel Core i7-1260P,Intel Iris Xe Graphics G7 96EUs,"16 GB  ,, LPDDR5-5200, Dual-Channel, onboard","Silicon Motion PCIe-8 SSD 1TB, 1024 GB  ","14.20 inch 3:2, 3120 x 2080 pixel 264 PPI, capacitive, TMX1422, IPS, glossy: yes, HDR, 90 Hz","1.268 kg ( = 44.73 oz / 2.8 pounds), Power Supply: 240 g ( = 8.47 oz / 0.53 pounds)",2199 Euro
HP EliteBook 845 G9 6F6H9EA,2022,AMD Ryzen 5 PRO 6650U,AMD Radeon 660M,"16 GB  ,, DDR5-4800","Samsung PM991 MZVLQ512HBLU, 512 GB  ","14.00 inch 16:10, 1920 x 1200 pixel 162 PPI, AUOA49A, IPS, glossy: no, 60 Hz","1.424 kg ( = 50.23 oz / 3.14 pounds), Power Supply: 190 g ( = 6.7 oz / 0.42 pounds)",1400 EUR
Gigabyte Aero 16 YE5,2022,Intel Core i9-12900HK,NVIDIA GeForce RTX 3080 Ti Laptop GPU,"32 GB  ,, DDR5-4800, Dual-Channel-Mode, two memory slots (both populated)",", 1024 GB  ","16.00 inch 16:10, 3840 x 2400 pixel 283 PPI, Samsung SDC416B, AMOLED, glossy: yes, 60 Hz","2.29 kg ( = 80.78 oz / 5.05 pounds), Power Supply: 726 g ( = 25.61 oz / 1.6 pounds)",
Dell Latitude 9330,2022,Intel Core i7-1260U,Intel Iris Xe Graphics G7 96EUs,"16 GB  ,, LPDDR5, 5200 MHz, Dual-Channel, Soldered",,"13.30 inch 16:10, 2560 x 1600 pixel 227 PPI, 10-point capacitive, native pen support, AU Optronics B133QAA, IPS, Dell P/N: 1W19K, Controller: AUO95A3, glossy: yes, 60 Hz","1.19 kg ( = 41.98 oz / 2.62 pounds), Power Supply: 225 g ( = 7.94 oz / 0.5 pounds)",USD 2700
Asus ROG Strix Scar 17 SE G733CX-LL014W,2022,Intel Core i9-12950HX,NVIDIA GeForce RTX 3080 Ti Laptop GPU,"32 GB  ,, DDR5-4800, dual-channel, 2 slots, max. 64 GB",", 2048 GB  ","17.30 inch 16:9, 2560 x 1440 pixel 170 PPI, NE173QHM-NZ2, IPS, glossy: no, 240 Hz","2.927 kg ( = 103.25 oz / 6.45 pounds), Power Supply: 1.1 kg ( = 38.8 oz / 2.43 pounds)",4000 Euro
